002007e1,          ," "
02aae5c5,          ,"KVS Hit un-written data in sector; moving to the next sector"
03e3824d,          ,"KVS    Unable to free an empty sector"
058986dc,          ,"KVS Writing to previously written address: %x"
05d5e832,          ,"KVS Tried to erase a sector at an address past flash end; address: %x, sector implied: %u"
09b74029,          ,"KVS Sector descriptors: count %u"
0ab56ce1,          ,"KVS ====================== KEY VALUE STORE DUMP ========================="
0f04bf13,          ,"KVS    Alignment    = 0x%x"
1071ea77,          ,"KVS Fixing KVS errors"
13079b91,          ,"KVS    |%3u: | %8zu  |%8zu  | %s"
1515b9c5,          ,"KVS KVS init: Unable to maintain required free sector"
1692071d,          ,"KVS Garbage Collect a single sector"
1935f6c0,          ,"KVS Unaligned write; address %x, size %u B, alignment %u"
19917e9d,          ,"KVS Key 0x%08x missing copies, has %u, needs %u"
1d20d688,          ,"KVS    Avoid address %u"
1e57aec0,          ,"KVS   Found a usable sector %u, with %u B recoverable, in GC"
2195bcc1,          ,"KVS    Entry size   = 0x%x"
21acb524,          ,"KVS   Failed to relocate valid entries from sector being garbage collected, %u valid bytes remain"
21beda84,          ,"Write KVS value of %u"
21f8b7d6,          ,"KVS KVS init failed: FlashParition sector count (=%u) must be at 2. KVS requires at least 1 working sector + 1 free/reserved sector"
223077d5,          ,"KVS   Sector count     = %u"
23f7da0f,          ,"KVS Find sector with %u bytes available, starting with sector %u, %s"
2b05ff01,          ,"KVS Read: %u bytes"
2b20c0a1,          ,"KVS KVS init: Corruption detected and unable repair"
2b5a8af6,          ,"KVS    Empty sector found"
2bc3cb0f,          ,"          The current allocated heap memory is %u bytes."
2bd7ed16,          ,"KVS Requested %u B read, but value is %u B"
2be13549,          ,"KVS has %u keys"
2f32f701,          ,"KVS   Relocate entry for Key 0x%08lx, sector %u"
2f70d33f,          ,"KVS Sector descriptors:"
316ccf72,          ,"KVS    Found corrupt entry, invalidating this copy of the key"
3444a941,          ,"KVS    Transaction  = %u"
38a2f82f,          ,"KVS Found stale entry when appending; ignoring"
39218c10,          ,"KVS    Find empty sector"
3e5baea1,          ,"KVS Found space for entry in sector %u at address %u"
468b2f25,          ,"KVS   - Sector %u: valid %u, recoverable %u, free %u"
47658db8,          ,"KVS KVS init: Redundancy level successfully updated"
47a9c2d0,          ,"KVS Entry [%s]: "
4c32767c,          ,"Read KVS value of %u"
4daecf75,          ,"KVS   %3zu %8zx %5zu | %02x %02x %02x %02x %02x %02x %02x %02x"
4dc0b20a,          ,"KVS Write beyond end of memory; address %x, size %u B, max address %x"
4e4ed36c,          ,"KVS Flash partition:"
51e69dd3,          ,"KVS    No empty sector found, attempting to GC a free sector"
5203d8bd,          ,"KVS   Total size       = %u"
541a6aac,          ,"KVS KVS init: Corruption found but not repaired, KVS unavailable until successful maintenance."
5a592684,          ,"          malloc() is called %u times. (realloc()/calloc() counted as one time)"
5b956057,          ,"KVS     Skip sector %u"
5bee7c5f,          ,"KVS First pass: Read all entries from all sectors"
5c2c926f,          ,"KVS Found sector %u to Garbage Collect, %u recoverable bytes"
5c2d87d8,          ,"KVS   Sector %u corrupt"
6009e587,          ,"KVS       #     hash        version    address   address (hex)"
63022f9e,          ,"KVS KVS init: Corruption detected and fully repaired"
67323f8b,          ,"KVS Key descriptors: count %u"
6aef4241,          ,"KVS     Doing GC on sector with no reclaimable bytes!"
6c9977b7,          ,"KVS Corruption detected. Found %u corrupt bytes, %u corrupt entries, and %u keys missing redundant copies."
6ca1ddf7,          ,"KVS    Redundancy not in use, nothting to check"
6d8189c5,          ,"KVS Did more GC sectors than total sectors!!!!"
70c821f6,          ,"KVS Initializing key value store"
7190b015,          ,"KVS Scanning sector %u for entries starting from address %u"
73766a49,          ,"KVS Unable to find sector to garbage collect!"
74ca4cd5,          ,"KVS   Skip sector %u"
787e3dd0,          ,"KVS    Failed to add key missing copies"
7a1d219b,          ,"KVS Beginning full maintenance"
7bff8c9d,          ,"KVS    Magic        = 0x%x"
7cf5b316,          ,"KVS Failed to garbage collect all sectors"
7f216f79,          ,"KVS   Sector max count = %u"
802ed3bb,          ,"KVS    Value length = 0x%x"
81f77883,          ,"KVS KVS init: Corruption detected, no repair attempted due to options"
8366caaa,          ,"KVS Sector raw data:"
8371fdbd,          ,"KVS  "
8567c489,          ,"KVS    Key length   = 0x%x"
8652a0ab,          ,"KVS   base    addr  offs   0  1  2  3  4  5  6  7"
882cb8cc,          ,"KVS %u B value with %u B key cannot fit in one sector"
8baa1c2f,          ,"KVS Sector %u contains %uB of corrupt data"
8d90836e,          ,"KVS   Garbage Collect sector %u"
8e27363c,          ,"KVS Updating entry 0x%08x from old format [0x%08x] to new format [0x%08x]"
8fe2d7aa,          ,"KVS Starting KVS repair"
93f95171,          ,"KVS Reinitialize KVS metadata"
94bd5615,          ,"KVS    Pass %u complete"
9a7e1694,          ,"KVS ////////////////////// KEY VALUE STORE DUMP END /////////////////////"
